"source_block","brand","product_line_model","source_sku_reference","category","configuration_family","configuration_raw","needle_diameter_mm","needle_diameter_raw","needle_count","needle_count_raw","taper","presentation","application","brazil_market_evidence","source_reference","variant_level","data_status","sort_category","sort_brand","sort_line","sort_configuration","sort_count","sort_diameter"
"Cartuchos Cheyenne","Cheyenne","Craft — Magnum Soft Edge / Curved","CART-829, CART-831, CART-833, CART-835, CART-836","Cartucho; magnum soft edge (curved)","","7, 9, 13, 17, 23","","7M e 23M: #10 / 0,30 mm; 9M/13M/17M: #12 / 0,35 mm","","7, 9, 13, 17, 23","Long Taper, 4,5 mm","Caixa estéril de 20","Preenchimento suave e transições; uso usual, confirmar com fabricante","","[Ultimate — Craft Soft Edge][3]; [Painful Pleasures — Craft][2]","família/modelo","Fonte técnica modelada","cartucho; magnum soft edge (curved)","cheyenne","craft — magnum soft edge / curved","999","999","00099"
"Cartuchos Cheyenne","Cheyenne","Safety — Magnum Soft Edge / Curved","SKU não publicado; distribuidor TATSoul lista produto com variantes","Cartucho; magnum soft edge curved","Soft Edge / Curved Magnum","Curved/Soft Edge; TATSoul publica opções de 7, 9, 11, 13, 15, 17 e 23 em seu filtro/listagem, mas não tratar o filtro como tabela oficial completa","","0,25–0,35 mm nas variantes verificadas por distribuidor; 0,40 mm só quando constar da ficha da variante","","conforme opção","Long Taper aparece em variantes de distribuidor; demais tapers não publicados na fonte consultada","Caixa de 20","Sombreamento suave e transições; uso usual, confirmar com fabricante","","[TATSoul — Cheyenne][6]; [Cheyenne Safety][4]","família/modelo","Fonte técnica modelada","cartucho; magnum soft edge curved","cheyenne","safety — magnum soft edge / curved","050","999","00099"
"Cartuchos Cheyenne","Cheyenne","Safety — Textured Magnum / Textured Soft Edge","SKU não publicado","Cartucho; magnum texturizado / curved","Soft Edge / Curved Magnum","Textured Magnum e Textured Soft Edge aparecem como linhas comerciais distintas","0.35","0,30 e 0,35 mm aparecem em variantes de distribuidor; não generalizar para toda a linha","","conforme variante","não publicado de modo completo","Caixa de 20","Textura, whip/soft shading; uso usual, confirmar com fabricante","","[TATSoul — Cheyenne][6]; [Cheyenne Safety][4]","família/modelo","Fonte técnica modelada","cartucho; magnum texturizado / curved","cheyenne","safety — textured magnum / textured soft edge","050","999","00.35"
"Cartuchos Cheyenne","Cheyenne","Safety — Power Liner","SKU não publicado","Cartucho; power liner","RL / Liner","Power Liner; variantes 7RL e 9RL em 0,40 mm são publicadas pela Nordic","0.40","0,40 mm","","7 e 9","Super Long Taper","Caixa estéril de 20","Linhas mais encorpadas; uso usual, confirmar com fabricante","","[Nordic — Safety RL][5]","família/modelo","Fonte técnica modelada","cartucho; power liner","cheyenne","safety — power liner","010","999","000.4"
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","WJX","Ultimate Professional — Round Liner","não publicado","Cartucho; RL","RL / Liner","Round Liner; a loja oficial publica versões 0,30 mm e 0,35 mm com taper de 5 mm","","0,30 mm e 0,35 mm","","Quantidade não publicada nas fichas resumidas consultadas","5 mm","Caixa de 20 quando indicado na ficha; versão RL do site WJX sem embalagem detalhada","","Site oficial WJX; presença brasileira indicada por WJX Brasil e revendedores, mas certificação e SKU local devem ser validados no cadastro","WJX Tattoo — catálogo oficial","família/modelo","Fonte técnica modelada","cartucho; rl","wjx","ultimate professional — round liner","010","999","00099"
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","EZ Tattoo","Revolution Round Liner","R0C03RL (SKU exibido na página)","Cartucho; Round Liner","RL / Liner","RL; opções Long Taper, Medium Taper, Super Tight X-Taper, Textured Super Tight X-Taper, Pure Round Tip e Extra Long Taper","","0,25 mm (#8), 0,30 mm (#10), 0,35 mm (#12), 0,40 mm (#14)","","3, 5, 7, 9, 11, 14; também 4, 8 e 18 em combinações exibidas","Publicado como nomes de variação; comprimento em mm não publicado nesta ficha","Caixa com 20 cartuchos; aço inoxidável 304 grau médico, ponta plástica grau médico e esterilização EO conforme ficha oficial EZ","","Loja oficial internacional; não confirma distribuição brasileira na ficha. Presença brasileira localizada em perfil “EZ Tattooing Brasil”, sem especificação técnica adicional confirmada","EZ Tattoo Supply — Revolution Round Liner","família/modelo","Fonte técnica modelada","cartucho; round liner","ez tattoo","revolution round liner","010","999","00099"
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","Mast","Ocean Heart","código exibido 78987402597; configurações 1001RL e 1003RL","Cartucho; Round Liner para fineline/PMU","RL / Liner","RL, formato cônico fino e alongado","0.30","0,30 mm na ficha; página oferece 1001RL e 1003RL","","1 e 3","5,0 mm","Caixa com 20 unidades","","Presença brasileira confirmada pela Mast Brasil e Prodigy Company; ficha publica registro Anvisa 81652919055","Prodigy Company Store — Ocean Heart RL 0,30 mm","família/modelo","Fonte técnica modelada","cartucho; round liner para fineline/pmu","mast","ocean heart","010","999","000.3"
"Cartuchos Cheyenne","Cheyenne","Craft — Shader","CART-823 a CART-826","Cartucho; round shader","RS / Shader","Round Shader: 5, 7, 9, 13","0.30","#10 / 0,30 mm","5","5, 7, 9, 13","não publicado na página consultada","Caixa estéril de 20; uso único","Sombreamento; uso usual, confirmar com fabricante","","[Painful Pleasures — Craft][2]","variação extraída","Fonte técnica modelada","cartucho; round shader","cheyenne","craft — shader","020","005","000.3"
"Cartuchos Cheyenne","Cheyenne","Craft — Shader","CART-823 a CART-826","Cartucho; round shader","RS / Shader","Round Shader: 5, 7, 9, 13","0.30","#10 / 0,30 mm","7","5, 7, 9, 13","não publicado na página consultada","Caixa estéril de 20; uso único","Sombreamento; uso usual, confirmar com fabricante","","[Painful Pleasures — Craft][2]","variação extraída","Fonte técnica modelada","cartucho; round shader","cheyenne","craft — shader","020","007","000.3"
"Cartuchos Cheyenne","Cheyenne","Craft — Shader","CART-823 a CART-826","Cartucho; round shader","RS / Shader","Round Shader: 5, 7, 9, 13","0.30","#10 / 0,30 mm","9","5, 7, 9, 13","não publicado na página consultada","Caixa estéril de 20; uso único","Sombreamento; uso usual, confirmar com fabricante","","[Painful Pleasures — Craft][2]","variação extraída","Fonte técnica modelada","cartucho; round shader","cheyenne","craft — shader","020","009","000.3"
"Cartuchos Cheyenne","Cheyenne","Craft — Shader","CART-823 a CART-826","Cartucho; round shader","RS / Shader","Round Shader: 5, 7, 9, 13","0.30","#10 / 0,30 mm","13","5, 7, 9, 13","não publicado na página consultada","Caixa estéril de 20; uso único","Sombreamento; uso usual, confirmar com fabricante","","[Painful Pleasures — Craft][2]","variação extraída","Fonte técnica modelada","cartucho; round shader","cheyenne","craft — shader","020","013","000.3"
"Cartuchos Cheyenne","Cheyenne","Safety — Round Shader","SKU não publicado","Cartucho; round shader","RS / Shader","Linha Round Shader; configurações individuais e combinações completas não publicadas na página oficial consultada","0.40","0,25–0,40 mm é a faixa oficial da família; variante específica deve ser cadastrada só com ficha","","não publicado para o conjunto completo","não publicado para o conjunto completo","Caixa de 20, estéril, individualizada","Sombreamento; uso usual, confirmar com fabricante","","[Cheyenne Safety][4]; [Nordic — Safety RL][5]","família/modelo","Fonte técnica modelada","cartucho; round shader","cheyenne","safety — round shader","020","999","000.4"
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","WJX","Ultimate Professional — Round Shader","não publicado","Cartucho; RS","RS / Shader","Round Shader","","0,30 mm e 0,35 mm","","não publicado","3,5 mm publicado para a ficha RS localizada","Caixa com 20","","Linha confirmada no site oficial; presença brasileira localizada em WJX Brasil","WJX Tattoo — catálogo oficial","família/modelo","Fonte técnica modelada","cartucho; rs","wjx","ultimate professional — round shader","020","999","00099"
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","WJX","Ultimate — kit misto","não publicado","Cartucho; sortido","","0403RL, 0803RL, 1003RL, 1005RL, 1203RL, 1205RL, 1207RS, 1207RM, 1209RM, 1211RM","","parcialmente inferível pelos códigos, mas não repetir sem ficha dimensional específica","","indicado pelos códigos; não converter para tabela de diâmetros sem confirmação","não publicado","Kit misto com 50 cartuchos","","Produto publicado pelo fabricante WJX; disponibilidade brasileira depende do importador","WJX Tattoo — kit misto Ultimate","família/modelo","Fonte técnica modelada","cartucho; sortido","wjx","ultimate — kit misto","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Biodegradable heart-shaped ink cups","9450","Copo/batoque biodegradável","","formato de coração; 13 mm","","","","","","200 unidades","Dosagem de pigmento; uso usual, confirmar com fabricante","","[4]","família/modelo","Fonte técnica modelada","copo/batoque biodegradável","kwadron","biodegradable heart-shaped ink cups","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Biodegradable Ink Hexagon Cups","não publicado","Copo/batoque biodegradável","","hexagonal; diâmetro não publicado","","","","","","caixa com 200 unidades","Dosagem de pigmento; formato hexagonal para organização; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","copo/batoque biodegradável","kwadron","biodegradable ink hexagon cups","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar ECO Paper Ink Cups","não publicado","Copo/batoque de papel; linha ecológica","","formato e diâmetro não publicados","","","","","","200 unidades","Dosagem de pigmento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","copo/batoque de papel; linha ecológica","kwadron","unistar eco paper ink cups","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Ink cups Clear Yellow","não publicado","Copo/batoque descartável; pigmento","","formato não publicado; diâmetro não publicado","","","","","","500 unidades; amarelo translúcido","Dosagem e uso de pigmento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","copo/batoque descartável; pigmento","kwadron","ink cups clear yellow","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Ink cups Yellow","não publicado","Copo/batoque descartável; pigmento","","formato não publicado; diâmetro não publicado","","","","","","500 unidades; amarelo","Dosagem e uso de pigmento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","copo/batoque descartável; pigmento","kwadron","ink cups yellow","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Nineone Sterile Ink Cups","não publicado","Copo/batoque estéril","","formato e diâmetro não publicados","","","","","","apresentação/quantidade não publicada","Uso de pigmento em procedimento; esterilidade conforme rotulagem e instruções do fabricante","","[1]","família/modelo","Fonte técnica modelada","copo/batoque estéril","kwadron","nineone sterile ink cups","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","CUT MODULE Modular cups for cutting BLACK","não publicado","Copo/batoque modular para corte","","modular; medidas não publicadas","","","","","","500 unidades; preto","Organização modular e separação/corte de conjuntos; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","copo/batoque modular para corte","kwadron","cut module modular cups for cutting black","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","CUT MODULE Modular cups for cutting WHITE","não publicado","Copo/batoque modular para corte","","modular; medidas não publicadas","","","","","","500 unidades; branco","Organização modular e separação/corte de conjuntos; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","copo/batoque modular para corte","kwadron","cut module modular cups for cutting white","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","SKULL Plastic Ink Cup","8243","Copo/batoque plástico","","circular; 12 mm","","","","","","200 unidades; desenho de caveira","Dosagem de pigmento; uso usual, confirmar com fabricante","","[3]","família/modelo","Fonte técnica modelada","copo/batoque plástico","kwadron","skull plastic ink cup","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","H2Ocean","Ocean Care Tattoo Aftercare Skin Moisturizing Cream/Lotion","não publicado na página consultada","Creme/loção hidratante pós-tatuagem","Soft Edge / Curved Magnum","Loção sem fragrância, à base de água, enriquecida com vitaminas","","","","","","No Extreme Kit: 74 g; apresentação avulsa: página publica produto, mas não medida no trecho consultado","Hidratar e proteger; no Extreme Kit, substituir Aquatat a partir do terceiro dia e usar como hidratação posterior","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","creme/loção hidratante pós-tatuagem","h2ocean","ocean care tattoo aftercare skin moisturizing cream/lotion","050","999","00099"
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Envelope de papel grau cirúrgico autosselante","não publicado","Embalagens / envelope","","Envelope autosselante","","dimensões não publicadas","","não aplicável","não aplicável","envelope","Acondicionamento de instrumental para esterilização; seguir instruções de fechamento","Presença comercial no Brasil confirmada; tamanhos e indicador incorporado não publicados","Sispack — Produtos","família/modelo","Referência técnica — validar Brasil/SKU","embalagens / envelope","sispack","envelope de papel grau cirúrgico autosselante","999","999","00099"
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Envelope de papel grau cirúrgico termosselante","não publicado","Embalagens / envelope","","Envelope termosselante","","dimensões não publicadas","","não aplicável","não aplicável","envelope","Acondicionamento de instrumental para esterilização; requer selagem adequada","Presença comercial no Brasil confirmada; tamanhos e indicador incorporado não publicados","Sispack — Produtos","família/modelo","Referência técnica — validar Brasil/SKU","embalagens / envelope","sispack","envelope de papel grau cirúrgico termosselante","999","999","00099"
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Papel grau cirúrgico — bobina","não publicado","Embalagens / papel grau cirúrgico","","Bobina","","largura, comprimento e gramatura não publicados","","não aplicável","não aplicável","bobina","Embalagem de produtos para esterilização; selagem e ciclo devem seguir IFU do fabricante","Presença comercial no Brasil confirmada; dimensões e barreira não publicadas","Sispack — Produtos","família/modelo","Fonte técnica modelada","embalagens / papel grau cirúrgico","sispack","papel grau cirúrgico — bobina","999","999","00099"
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Embalagem SMS","não publicado","Embalagens / SMS","","embalagem SMS","","dimensões e gramatura não publicadas","","não aplicável","não aplicável","não publicado","Barreira/embalagem para esterilização; uso usual, confirmar método e compatibilidade","Presença comercial no Brasil confirmada; composição e dimensões não publicadas","Sispack — Produtos","família/modelo","Pendente de validação de SKU","embalagens / sms","sispack","embalagem sms","999","999","00099"
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Leitora automática Attest","490M","Equipamento / leitora de IB","","Leitora automática mini","","não aplicável","","não aplicável","não aplicável","unidade","Leitura automática de indicadores biológicos compatíveis; confirmar modelos suportados","Produto publicado oficialmente no Brasil; compatibilidade completa não publicada na categoria","3M Brasil — 490M","família/modelo","Fonte técnica modelada","equipamento / leitora de ib","3m / solventum","leitora automática attest","999","999","00099"
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Sistema de autoleitora Attest vapor/VH2O2","490 DR","Equipamento / leitora de IB","","Sistema de autoleitura","","não aplicável","","não aplicável","não aplicável","unidade","Leitura automática para vapor e VH2O2","Produto publicado oficialmente no Brasil; compatibilidade detalhada deve ser confirmada","3M Brasil — catálogo","família/modelo","Fonte técnica modelada","equipamento / leitora de ib","3m / solventum","sistema de autoleitora attest vapor/vh2o2","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","H2Ocean","Ocean Foam Skin Moisturizing Foam","não publicado na página consultada","Espuma hidratante/protetora","","Espuma de barreira","","","","","","Incluída no Ultimate Tattoo Care Kit; tamanho avulso não publicado no trecho consultado","No Ultimate Kit, iniciar no segundo dia, em camada fina antes de dormir; fabricante descreve função de hidratar, proteger e “lock” da tinta","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Pendente de validação de SKU","espuma hidratante/protetora","h2ocean","ocean foam skin moisturizing foam","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Recovery Aftercare","Derm Shield","não publicado na página consultada","Filme/curativo adesivo para tatuagem","","Filme cortado sob medida, aplicado com margem de 1–2 in","","","","","","Apresentação/medidas/quantidade: não publicadas na instrução consultada","Primeira aplicação por 24 h conforme exsudação; segunda por vários dias; terceira se necessário; nenhuma peça por mais de 1 semana. Não aplicar em ferida infectada; cautela para alergia a adesivo","Fabricante publica instrução; presença comercial no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo adesivo para tatuagem","recovery aftercare","derm shield","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage 10-Pack Small","não publicado na página consultada","Filme/curativo adesivo transparente","","Pré-cortado, 4 x 4 in (10,2 x 10,2 cm)","","","","","","Pacote com 10 unidades; estéril e selado individualmente","Novas tatuagens, abrasões, lacerações e proteção contra fricção; fabricante orienta margem mínima de 1 in e não usar por mais de 7 dias consecutivos","Especificação confirmada pelo fabricante; presença no Brasil não confirmada na fonte direta","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo adesivo transparente","saniderm","original tattoo bandage 10-pack small","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage 25-Pack Large","não publicado na página consultada","Filme/curativo adesivo transparente","","Pré-cortado, 8 x 10 in","","","","","","Pacote profissional com 25 unidades","Uso profissional para novas tatuagens e feridas superficiais conforme instruções do fabricante; confirmar disponibilidade e registro/importação antes do cadastro brasileiro","Especificação confirmada; presença comercial no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo adesivo transparente","saniderm","original tattoo bandage 25-pack large","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage 3-Pack Large","SDPP8V1","Filme/curativo adesivo transparente","","Pré-cortado, 8 x 10 in (20,3 x 25,4 cm)","","","","","","Pacote com 3 curativos estéreis, adesivos e transparentes","Novas tatuagens, abrasões, lacerações e proteção de pele contra fricção; fabricante publica margem de 1 in","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo adesivo transparente","saniderm","original tattoo bandage 3-pack large","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage 3-Pack Medium","não publicado na página consultada","Filme/curativo adesivo transparente","","Pré-cortado, 6 x 8 in (15,2 x 20,3 cm)","","","","","","Pacote com 3 unidades, estéreis e seladas individualmente","Mesma indicação e protocolo do Original; primeira aplicação até 24 h, segunda 3–5 dias, limite consecutivo de 7 dias","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo adesivo transparente","saniderm","original tattoo bandage 3-pack medium","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage Roll Extra Large","SDRL10V1","Filme/curativo em rolo","","Rolo 10,2 in x 8 yd (25,9 cm x 7,32 m)","","","","","","1 rolo selado e estéril","Novas tatuagens, abrasões, lacerações e proteção contra fricção; impermeável e respirável segundo o fabricante","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo em rolo","saniderm","original tattoo bandage roll extra large","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage Roll Large","não publicado na página consultada","Filme/curativo em rolo","","Rolo 8 in x 8 yd (20,3 cm x 7,32 m)","","","","","","Rolo profissional","Mesma indicação técnica do Original","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo em rolo","saniderm","original tattoo bandage roll large","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage Roll Medium","não publicado na página consultada","Filme/curativo em rolo","","Rolo 6 in x 8 yd (15,2 cm x 7,32 m)","","","","","","Rolo profissional","Mesma indicação técnica do Original; seguir instruções do fabricante e avaliação da tolerância ao adesivo","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo em rolo","saniderm","original tattoo bandage roll medium","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage Roll Small","não publicado na página consultada","Filme/curativo em rolo","","Rolo 4 in x 8 yd (10,2 cm x 7,32 m)","","","","","","Rolo profissional estéril/selado; unidade não publicada na página consultada","Corte sob medida para cobrir a tatuagem e margem; fabricante indica barreira contra poeira, bactérias, umidade e fricção","Especificação confirmada; presença no Brasil não confirmada","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo em rolo","saniderm","original tattoo bandage roll small","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Tattoo Aftercare Wrap Large","não publicado na página consultada","Filme/curativo pós-tatuagem","","Wrap grande; dimensões exatas não publicadas na página consultada","","","","","","Apresentação Large","Fabricante descreve proteção de arte fresca durante cicatrização; não inferir impermeabilidade, esterilidade ou tempo máximo sem ficha técnica","Existência e tamanho comercial confirmados; especificação dimensional e presença no Brasil não confirmadas","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo pós-tatuagem","hustle butter","tattoo aftercare wrap large","999","999","00099"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Tattoo Aftercare Wrap Small","não publicado na página consultada","Filme/curativo pós-tatuagem","","Wrap pequeno; dimensões exatas não publicadas na página consultada","","","","","","Apresentação Small","Fabricante descreve proteção de arte fresca durante cicatrização; tamanho exato, material e adesivo não publicados","Existência e tamanho comercial confirmados; especificação dimensional e presença no Brasil não confirmadas","","família/modelo","Referência técnica — validar Brasil/SKU","filme/curativo pós-tatuagem","hustle butter","tattoo aftercare wrap small","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","MAGIC TAPE Double-sided tape for cups BLACK","não publicado","Fita dupla-face para copos","","rolo; comprimento publicado de 5 m; largura não publicada","","","","","","1 rolo de 5 m; preto","Fixar copos/batoques e organizar a bancada; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","fita dupla-face para copos","kwadron","magic tape double-sided tape for cups black","999","999","00099"
"Stencil: papel térmico, impressoras, transfer e fixadores","Stencil Stuff","Spray Stuff 8 oz / 240 ml","não publicado","fixador / spray de stencil","","spray para fixar stencil e desenho freehand","","não aplicável","","não aplicável","não aplicável","frasco de 8 oz/240 ml","distribuidor reconhecido descreve como fixador que prolonga a duração do stencil e pode definir desenhos freehand; confirmar fórmula e disponibilidade com fabricante","Presença comercial no Brasil não confirmada; especificação confirmada pelo distribuidor reconhecido quanto ao volume e uso descrito","Spray Stuff – I Max Shop","família/modelo","Referência técnica — validar Brasil/SKU","fixador / spray de stencil","stencil stuff","spray stuff 8 oz / 240 ml","999","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Critical","Atom X","CT-ATOM-X-BLACK; variante prata publicada","Fonte de alimentação digital","","fonte para coil e rotary; base magnética de neodímio; modos manual, momentary e maintained; jump-start","","1,75 in altura × 2,87 in diâmetro","","não aplicável","não aplicável","unidade com adaptador e manual; cores preta e prata","alimentação e controle de tensão para máquinas coil/rotary; jump-start para rotativas de partida difícil","especificação confirmada por distribuidor reconhecido; presença comercial no Brasil não confirmada","Worldwide Tattoo Supply — Atom X","família/modelo","Referência técnica — validar Brasil/SKU","fonte de alimentação digital","critical","atom x","999","999","00099"
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Reilly Tattoo","Vasigel Finalizador","não publicado","Gel finalizador/cuidado pós-procedimento","","gel em pote","","","","","","300 g","Finalizar tatuagens; ficha do distribuidor cita hidratação, redução de irritações, minimização de poros e sensação de frescor","Presença comercial no Brasil confirmada por distribuidor; especificação confirmada pelo distribuidor","Equipa Art — Vasigel Reilly Tattoo 300 g","família/modelo","Fonte técnica modelada","gel finalizador/cuidado pós-procedimento","reilly tattoo","vasigel finalizador","999","999","00099"
"Máquinas, grips, fontes, baterias e cabos","FK Irons","Slim Xion/Xion S Disposable Grip","não publicado","Grip descartável","","grip para máquinas com drive bar integrado; bore central publicado","","4 mm; furo central 3 mm","","não aplicável","não publicado","caixa com 24 unidades","uso usual, confirmar com fabricante: compatibilidade com máquinas de drive bar integrado","especificação confirmada; presença comercial no Brasil não confirmada","FK Irons Slim Xion/Xion S","família/modelo","Referência técnica — validar Brasil/SKU","grip descartável","fk irons","slim xion/xion s disposable grip","999","999","00099"
"Stencil: papel térmico, impressoras, transfer e fixadores","HPRT","Wireless Tattoo Stencil Printer with 10 Transfer Sheets, Black","SKU 100601760; barcode não publicado como código EAN no catálogo","impressora / stencil térmico","","portátil, térmica, Bluetooth para iOS/Android e USB para Windows/Mac","","não publicado; peso publicado de 530 g; bateria interna 2000 mAh","","não aplicável","não aplicável","unidade com 10 folhas de transferência; página também informa até 200 stencils por carga","impressão térmica sem tinta para desenhos de tatuagem; o fabricante informa que o papel não transfere diretamente à pele e requer álcool + creme/gel de transferência","Presença comercial brasileira não confirmada; especificação confirmada pelo fabricante/distribuidor HPRT, produto marcado como sold out na página consultada","HPRT Wireless Tattoo Stencil Printer","família/modelo","Referência técnica — validar Brasil/SKU","impressora / stencil térmico","hprt","wireless tattoo stencil printer with 10 transfer sheets, black","999","999","00099"
"Stencil: papel térmico, impressoras, transfer e fixadores","S8 Tattoo / Brother Mobile Solutions","S8 Stencil Printer 8 Series – USB","referência exata não publicada na página S8 consultada","impressora / stencil térmico","","versão USB; formato máximo de mídia não publicado pela S8 consultada","","não publicado","","não aplicável","não aplicável","unidade","impressão de stencil térmico; “uso usual, confirmar com fabricante” para sistema operacional, mídia e consumíveis específicos","Presença comercial no Brasil não confirmada; existência da variação USB confirmada no catálogo S8","S8 Stencil Printer","família/modelo","Referência técnica — validar Brasil/SKU","impressora / stencil térmico","s8 tattoo / brother mobile solutions","s8 stencil printer 8 series – usb","999","999","00099"
"Stencil: papel térmico, impressoras, transfer e fixadores","S8 Tattoo / Brother Mobile Solutions","S8 Stencil Printer 8 Series – Wireless","PJ-773-C132 (referência Brother para versão Wi‑Fi/USB; a página S8 também chama “8 Series – Wireless”)","impressora / stencil térmico","","impressora portátil para papel térmico de stencil; S8 informa impressão a 300 dpi, Bluetooth e compatibilidade com Mac, iPhone, iPad, Windows e Android","","não publicado pela S8; Brother publica velocidade de até 8 páginas/min e interfaces USB 2.0/Wi‑Fi","","não aplicável","não aplicável","unidade; bateria Li-Ion opcional, até 600 impressões conforme S8","impressão digital de stencils para estúdios; compatível com S8 Thermal e Spirit Thermal; confirmar voltagem, disponibilidade e assistência no Brasil","Presença comercial no Brasil não confirmada nas páginas consultadas; especificação confirmada pelos fabricantes quanto a 300 dpi, conectividade e compatibilidade","S8 Stencil Printer; Brother PJ-773-C132","família/modelo","Referência técnica — validar Brasil/SKU","impressora / stencil térmico","s8 tattoo / brother mobile solutions","s8 stencil printer 8 series – wireless","999","999","00099"
"Stencil: papel térmico, impressoras, transfer e fixadores","Xprinter","K82 Tattoo Stencil Printer","K82","impressora / stencil térmico","","largura máxima de impressão 210 mm; impressão térmica direta","","não publicado; resolução publicada de 203 dpi","","não aplicável","não aplicável","unidade","papel de transferência para tatuagem; uso para stencil térmico, confirmar compatibilidade com marcas de papel","Presença comercial brasileira não confirmada; especificação confirmada na ficha do fabricante","Xprinter K82","família/modelo","Referência técnica — validar Brasil/SKU","impressora / stencil térmico","xprinter","k82 tattoo stencil printer","999","999","00099"
