"bloco_pesquisa","marca","linha_modelo","sku_referencia","sku_ref","categoria_subcategoria","configuracao_formato","diametro_espessura","diametro_espessura_unidade","agulhas_pontas","pontas","taper","apresentacao","indicacao_de_aplicacao","indicacao_publicada_ou_uso_tecnico_conservador","indicacao_publicada_ou_cautela","presenca_comercial_no_brasil_especificacao_confirmada","presenca_no_brasil_especificacao","fonte_direta","linha_modelo_publicado","diametro","indicacao_publicada_ou_uso_conservador","diametro_espessura_agulhas_pontas_taper","apresentacao_publicada","configuracao_formato_diametro_espessura","agulhas_pontas_taper","indicacao_publicada_ou_cautela_tecnica","aplicacao_publicada_ou_indicacao_conservadora","especificacao_presenca_no_brasil","qtd_agulhas_pontas","diametro_espessura_quantidade_de_agulhas_pontas_taper","indicacao_do_fabricante_cautela","presenca_comercial_no_brasil_vs_especificacao"
"Tintas nacionais — Electric Ink e Iron Works Brasil","Easy Glow (Electric Ink)","Easy Glow — Old School Blue EG","não publicado","","Tinta para tatuagem / azul","Linha fluida; pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","3","","","","não publicado","1,5 ml; 15 ml; 30 ml; 60 ml; 120 ml; 240 ml e Sets","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Easy Glow (Electric Ink)","Easy Glow — Orange EG","não publicado","","Tinta para tatuagem / laranja","Linha fluida; pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","3","","","","não publicado","1,5 ml; 15 ml; 30 ml; 60 ml; 120 ml; 240 ml e Sets","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Tintas para Tatuagem — cores do catálogo oficial, referências 0011 Branco; 003 Amarelo Claro; 0065 Creme; 0066 Banana; 002 Amarelo Canário; 0054 Areia; 0024 Ocre; 005 Amarelo Ouro; 0064 Bronze; 0068 Mostarda; 0078 Marrom Claro; 0070 Pele Claro; 0025 Papaya","refs conforme nomes ao lado","","Tinta para tatuagem / cores","Pigmento líquido; frasco","","","","","","","uso conforme cor e estilo; uso usual, confirmar com fabricante","","","","","5 6","","","","não publicado","15 ml; 30 ml; 120 ml, conforme página oficial da linha","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Tintas para Tatuagem — Coral Claro (0062); Coral Médio (0063); Coral (0061); Laranja (0018); Abóbora (001); Ferrugem Claro (0017); Ferrugem (0016); Bege Claro (0059); Bege (0010); Pankak (0069); Marrom Terra (0022); Marrom Escuro (0041); Chocolate (0023)","refs conforme nomes ao lado","","Tinta para tatuagem / laranjas, marrons e tons de pele","Pigmento líquido; frasco","","","","","","","uso usual, confirmar com fabricante","","","","","5 6","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Tintas para Tatuagem — Chocolate Escuro (0015); Pele (0026); Salmão Claro (0036); Salmão (0035); Salmão Escuro (0037); Terra Cota (0042); Rosa Claro (0032); Rosa (0031); Vermelho Claro (0052); Vermelho (0051); Vermelho Escuro (0053); Vermelho Terra (0056)","refs conforme nomes ao lado","","Tinta para tatuagem / tons de pele, rosas e vermelhos","Pigmento líquido; frasco","","","","","","","uso usual, confirmar com fabricante","","","","","5 6","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Tintas para Tatuagem — Verde Claro (0046); Verde Água (0045); Amarelo Esverdeado (004); Verde Limão (0049); Verde Folha (0048); Verde Turquesa (0044); Verde Metálico (0043); Verde Oliva (0067); Verde Escuro (0050); Azul Claro (0047)","refs conforme nomes ao lado","","Tinta para tatuagem / verdes e azul","Pigmento líquido; frasco","","","","","","","uso usual, confirmar com fabricante","","","","","5 6","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Tintas para Tatuagem — Azul (006); Azul Royal (009); Azul Metálico (0057); Azul Escuro (008); Lilás Claro (0020); Lilás (0019); Roxo (0033); Roxo Escuro (0034); Magenta (0021); Púrpura (0030)","refs conforme nomes ao lado","","Tinta para tatuagem / azuis, lilases, roxos e magenta","Pigmento líquido; frasco","","","","","","","uso usual, confirmar com fabricante","","","","","5 6","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Tintas para Tatuagem — Sumie 10% (0071); 20% (0072); 30% (0038); 40% (0073); 50% (0039); 60% (0074); 70% (0075); 80% (0040); 90% (0076); 100% (0077)","refs conforme nomes ao lado","","Tinta para tatuagem / sumie","Pigmento pré-diluído em graduações publicadas","","","","","","","sombreamento/sumie; uso usual, confirmar com fabricante","","","","","5 6","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Tintas para Tatuagem — Cinza Claro (0055); Cinza (0012); Cinza Escuro (0013)","refs conforme nomes ao lado","","Tinta para tatuagem / cinzas","Pigmento líquido; frasco","","","","","","","uso usual, confirmar com fabricante","","","","","5 6","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Preto Linha (0027)","0027","","Tinta para tatuagem / preto para linha","Formulação líquida","","","","","","","linhas, sombras, preenchimento e base para diluição em Sumie; indicação do catálogo oficial","","","","","5","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Preto Onix (0060)","0060","","Tinta para tatuagem / preto","Alta carga pigmentária","","","","","","","linhas, traços, preenchimento e sombras; indicação do catálogo oficial","","","","","5","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Preto Escuro (0028)","0028","","Tinta para tatuagem / preto","Formulação mais consistente; alta concentração de pigmento","","","","","","","preenchimentos, tribais e sombras; não recomendado pelo fabricante para traço/linha","","","","","5","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Iron Works Brasil","Preto Escuro XXX (0029)","0029","","Tinta para tatuagem / preto","Mistura de 3 cores; alta concentração; mais consistente que Preto Escuro","","","","","","","realismo e preenchimento; pode ser diluído para sombra; não recomendado para traço/linha","","","","","5","","","","não publicado","15 ml; 30 ml; 120 ml","","","","","","","","",""
"Tintas importadas","StarBrite","Brite White Tattoo Ink","não publicado","","Tinta; branco/opaco","Tinta pré-dispersa, frasco","","","","","","","Branco para tatuagem; uso usual, confirmar com fabricante","","","","A marca declara distribuidores mundiais; presença brasileira não confirmada na fonte oficial [1]","","","","","não aplicável","tamanho não publicado na página consultada; preço “a partir de”","","","","","","","","",""
"Tintas importadas","StarBrite","Black Outliner Tattoo Ink","não publicado","","Tinta; preto para linha","Tinta pré-dispersa, frasco","","","","","","","Contorno/linha — uso usual, confirmar com fabricante","","","","Especificação confirmada no catálogo oficial; presença comercial brasileira não confirmada [1]","","","","","não aplicável","tamanho não publicado na página consultada","","","","","","","","",""
"Tintas importadas","StarBrite","Canary Yellow Tattoo Ink","não publicado","","Tinta; amarelo","Tinta pré-dispersa, frasco","","","","","","","Cor amarela — uso usual, confirmar com fabricante","","","","Especificação confirmada no catálogo oficial; presença comercial brasileira não confirmada [1]","","","","","não aplicável","tamanho não publicado na página consultada","","","","","","","","",""
"Tintas importadas","StarBrite","Crimson Red Tattoo Ink","não publicado","","Tinta; vermelho","Tinta pré-dispersa, frasco","","","","","","","Cor vermelha — uso usual, confirmar com fabricante","","","","Especificação confirmada no catálogo oficial; presença comercial brasileira não confirmada [1]","","","","","não aplicável","tamanho não publicado na página consultada","","","","","","","","",""
"Tintas importadas","StarBrite","Lunar Graywash Set Tattoo Ink","não publicado","","Tinta; conjunto graywash","Conjunto de tons pré-misturados","","","","","","","Sombreamento graywash — uso usual, confirmar com fabricante","","","","Linha/conjunto confirmado oficialmente; presença brasileira não confirmada [1]","","","","","não aplicável","conjunto; quantidade de frascos e volume não publicados na página inicial","","","","","","","","",""
"Tintas importadas","StarBrite","Floral Series Tattoo Ink","não publicado","","Tinta; série temática","Conjunto/série de cores","","","","","","","Paleta floral — uso usual, confirmar com fabricante","","","","Linha confirmada oficialmente; presença brasileira não confirmada [1]","","","","","não aplicável","conjunto; volume e número de cores não publicados na página inicial","","","","","","","","",""
"Tintas importadas","StarBrite","Undertone Series Tattoo Ink","não publicado","","Tinta; série de tons","Conjunto/série de cores","","","","","","","Tons de base/undertone — uso usual, confirmar com fabricante","","","","Linha confirmada oficialmente; presença brasileira não confirmada [1]","","","","","não aplicável","conjunto; volume e número de cores não publicados na página inicial","","","","","","","","",""
"Tintas importadas","StarBrite","Master Collection Tattoo Inks","não publicado","","Tinta; kit/coleção","Coleção de tintas","","","","","","","Paleta geral — uso usual, confirmar com fabricante","","","","Kit confirmado oficialmente; presença brasileira não confirmada [1]","","","","","não aplicável","kit; quantidade de cores e volumes não publicados na página inicial","","","","","","","","",""
"Tintas importadas","StarBrite","Primary Color Set Tattoo Ink","não publicado","","Tinta; kit de cores primárias","Conjunto","","","","","","","Cores primárias — uso usual, confirmar com fabricante","","","","Há sinal de oferta ao Brasil em marketplace internacional, mas isso não equivale a distribuidor autorizado; validar importador, lote e regularização [1] [2]","","","","","não aplicável","conjunto; volume por frasco não publicado na página inicial","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Black","não publicado","","Tinta; preto","Tinta líquida, frasco","","","","","","","Preto para tatuagem — uso usual, confirmar com fabricante","","","","Fabricante lista distribuidores no Brasil: Get Inked Supply e Tribo do Sol; especificação do produto confirmada no site oficial [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Triple Black","não publicado","","Tinta; preto de alta carga","Tinta líquida, frasco","","","","","","","Preto intenso/packing — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores; confirmar estoque e autorização do revendedor [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic White Tattoo Ink","não publicado","","Tinta; branco","Tinta líquida, frasco","","","","","","","Branco/highlight — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores; confirmar estoque e lote [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Triple White Tattoo Ink","não publicado","","Tinta; branco de alta opacidade","Tinta líquida, frasco","","","","","","","Branco mais opaco — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores; confirmar estoque e lote [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Fire Red","não publicado","","Tinta; vermelho","Tinta líquida, frasco","","","","","","","Cor vermelha — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Canary Yellow","não publicado","","Tinta; amarelo","Tinta líquida, frasco","","","","","","","Cor amarela — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Electric Blue","não publicado","","Tinta; azul","Tinta líquida, frasco","","","","","","","Cor azul — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Leaf Green","não publicado","","Tinta; verde","Tinta líquida, frasco","","","","","","","Cor verde — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Lime Green","não publicado","","Tinta; verde-limão","Tinta líquida, frasco","","","","","","","Cor verde-limão — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Chinese Red","não publicado","","Tinta; vermelho","Tinta líquida, frasco","","","","","","","Cor vermelha — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Bubble Gum Pink","não publicado","","Tinta; rosa","Tinta líquida, frasco","","","","","","","Cor rosa — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Tattoo Ink Tropical Purple","não publicado","","Tinta; roxo","Tinta líquida, frasco","","","","","","","Cor roxa — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores [3] [4]","","","","","não aplicável","volume não explicitado na listagem resumida; preço “a partir de”","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Non Mixing Heavy White","não publicado","","Tinta; branco especial","Fórmula “non-mixing”, frasco","","","","","","","Branco denso/highlight — uso usual, confirmar com fabricante","","","","Presença comercial brasileira indicada pela lista oficial de distribuidores; confirmar se o distribuidor brasileiro mantém essa variante [3] [4]","","","","","não aplicável","8 oz publicado na listagem oficial","","","","","","","","",""
"Tintas importadas","Dynamic","Dynamic Butter","não publicado","","Insumo; butter/glide","Pomada/deslizante para trabalho","","","","","","","Lubrificação e proteção durante o trabalho, conforme descrição “all-stage performance” do fabricante","","","","Fabricante possui distribuidores no Brasil, mas a fonte não confirma estoque local [3] [4]","","","","","não aplicável","apresentação e volume não publicados na página inicial","","","","","","","","",""
"Tintas importadas","INTENZE","Black Label Tattoo Ink","não publicado","","Tinta; preto profissional","Tinta preta de alta carga","","","","","","","Linha, fine line, black & grey, packing sólido e blackout, conforme fabricante","","","","Especificação confirmada; presença comercial brasileira não confirmada em distribuidor oficial consultado [5]","","","","","não aplicável","8 oz / 240 ml","","","","","","","","",""
"Tintas importadas","INTENZE","Snow White Opaque Tattoo Ink","não publicado","","Tinta; branco opaco","Tinta branca opaca","","","","","","","Highlights e branco opaco — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença comercial brasileira não confirmada [5]","","","","","não aplicável","1/2 oz, 1 oz, 2 oz e 4 oz publicados","","","","","","","","",""
"Tintas importadas","INTENZE","Snow White Mixing Tattoo Ink","não publicado","","Tinta; branco para mistura","Tinta branca de mistura","","","","","","","Mistura e sombreamento, conforme indicação exibida pelo fabricante","","","","Especificação confirmada; presença comercial brasileira não confirmada [5]","","","","","não aplicável","1/2 oz, 1 oz, 2 oz e 4 oz publicados","","","","","","","","",""
"Tintas importadas","INTENZE","Zuper White — High Opaque","não publicado","","Tinta; branco de alta opacidade","Tinta branca de alta opacidade","","","","","","","Branco de alta opacidade — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença comercial brasileira não confirmada [5]","","","","","não aplicável","8 oz publicado","","","","","","","","",""
"Tintas importadas","INTENZE","Color Tattoo Ink — cores individuais","não publicado","","Tinta; catálogo de cores","Frascos individuais","","","","","","","Aplicação depende da cor; uso usual, confirmar com fabricante","","","","Catálogo oficial confirma 113 produtos e esses volumes filtráveis; não tratar como disponibilidade brasileira [6]","","","","","não aplicável","filtro oficial mostra 1 oz, 2 oz e 12 oz; a disponibilidade varia por cor","","","","","","","","",""
"Tintas importadas","INTENZE","Color Mixing Solution","não publicado","","Insumo; solução de mistura","Solução líquida","","","","","","","Diluição/sombreamento, conforme associação publicada pelo fabricante","","","","Especificação confirmada; presença comercial brasileira não confirmada [5]","","","","","não aplicável","1 oz, 4 oz e 12 oz","","","","","","","","",""
"Tintas importadas","World Famous","Primary Color Ink Set #1","WFPS1-1","","Tinta; conjunto de cores primárias","Kit com 12 cores","","","","","","","Todos os estilos, coverups, início ou reposição de paleta, segundo fabricante","","","","Especificação confirmada; a página direciona a localizador internacional, mas não confirma distribuidor brasileiro específico [7]","","","","","não aplicável","1 oz por frasco; conjunto somente em 1 oz","","","","","","","","",""
"Tintas importadas","World Famous","50 Color 1oz Bottle Set","não publicado","","Tinta; kit","Conjunto de 50 frascos","","","","","","","Paleta geral — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","1 oz por frasco","","","","","","","","",""
"Tintas importadas","World Famous","25 Color 1oz Bottle Set","não publicado","","Tinta; kit","Conjunto de 25 frascos","","","","","","","Paleta geral — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","1 oz por frasco","","","","","","","","",""
"Tintas importadas","World Famous","16 Color Ink Set #1","não publicado","","Tinta; kit","Conjunto de 16 cores","","","","","","","Paleta geral — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","1 oz","","","","","","","","",""
"Tintas importadas","World Famous","16 Color Ink Set #2","não publicado","","Tinta; kit","Conjunto de 16 cores","","","","","","","Paleta geral — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","1 oz","","","","","","","","",""
"Tintas importadas","World Famous","7 Color Simple Set","não publicado","","Tinta; kit","Conjunto de 7 cores","","","","","","","Paleta essencial — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","1/2 oz","","","","","","","","",""
"Tintas importadas","World Famous","3 Bottle Grey Wash Set","não publicado","","Tinta; graywash","Conjunto de 3 frascos","","","","","","","Graywash/sombreamento — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","1 oz, 4 oz e 8 oz publicados","","","","","","","","",""
"Tintas importadas","World Famous","Five-Stage Shading Set","não publicado","","Tinta; sombreamento","Conjunto de cinco estágios","","","","","","","Sombreamento em estágios — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","1 oz e 4 oz publicados","","","","","","","","",""
"Tintas importadas","World Famous","Lining And Shading Set","não publicado","","Tinta; linha e sombra","Conjunto","","","","","","","Lining e shading, conforme nome da linha — confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","4 oz publicado","","","","","","","","",""
"Tintas importadas","World Famous","Skintone Ink Set","não publicado","","Tinta; tons de pele","Conjunto","","","","","","","Tons de pele — uso usual, confirmar com fabricante","","","","Especificação confirmada; presença brasileira não confirmada [8]","","","","","não aplicável","1 oz","","","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Ink cups Yellow","","não publicado","Copo/batoque descartável; pigmento","","","","","","","500 unidades; amarelo","Dosagem e uso de pigmento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","formato não publicado; diâmetro não publicado","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Ink cups Clear Yellow","","não publicado","Copo/batoque descartável; pigmento","","","","","","","500 unidades; amarelo translúcido","Dosagem e uso de pigmento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","formato não publicado; diâmetro não publicado","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Ink cups with a stand","","não publicado","Batoque com base","","","","","","","100 unidades","Manter o copo apoiado e reduzir tombamento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","formato com suporte; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Ink cups on a stand Transparent","","não publicado","Batoque com base","","","","","","","1.000 unidades; transparente","Organização de múltiplas cores; uso usual, confirmar com fabricante","","","","","[1]","","","","","","formato com base; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Cups on a stand BLACK","","não publicado","Batoque com base","","","","","","","1.000 unidades; preto","Organização de múltiplas cores; uso usual, confirmar com fabricante","","","","","[1]","","","","","","formato com base; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Nineone Sterile Ink Cups","","não publicado","Copo/batoque estéril","","","","","","","apresentação/quantidade não publicada","Uso de pigmento em procedimento; esterilidade conforme rotulagem e instruções do fabricante","","","","","[1]","","","","","","formato e diâmetro não publicados","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Biodegradable Ink Hexagon Cups","","não publicado","Copo/batoque biodegradável","","","","","","","caixa com 200 unidades","Dosagem de pigmento; formato hexagonal para organização; uso usual, confirmar com fabricante","","","","","[1]","","","","","","hexagonal; diâmetro não publicado","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Silicone cups for the stand","","6661","Batoque reutilizável/descartável de silicone para suporte","","","","","","","100 unidades","Uso em suporte compatível; uso usual, confirmar com fabricante","","","","","[2]","","","","","","circular; 13 mm","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Silicone cups for the stand","","não publicado","Batoque de silicone para suporte","","","","","","","100 unidades","Uso em suporte compatível; uso usual, confirmar com fabricante","","","","","[1]","","","","","","circular; 8 mm","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","SKULL Plastic Ink Cup","","8243","Copo/batoque plástico","","","","","","","200 unidades; desenho de caveira","Dosagem de pigmento; uso usual, confirmar com fabricante","","","","","[3]","","","","","","circular; 12 mm","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Biodegradable heart-shaped ink cups","","9450","Copo/batoque biodegradável","","","","","","","200 unidades","Dosagem de pigmento; uso usual, confirmar com fabricante","","","","","[4]","","","","","","formato de coração; 13 mm","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Modular ink cups","","não publicado","Batoque modular","","","","","","","100 unidades","Combinar e organizar copos na bancada; a própria página descreve flexibilidade de arranjo","","","","","[1]","","","","","","módulos combináveis; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","CUT MODULE Modular cups for cutting BLACK","","não publicado","Copo/batoque modular para corte","","","","","","","500 unidades; preto","Organização modular e separação/corte de conjuntos; uso usual, confirmar com fabricante","","","","","[1]","","","","","","modular; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","CUT MODULE Modular cups for cutting WHITE","","não publicado","Copo/batoque modular para corte","","","","","","","500 unidades; branco","Organização modular e separação/corte de conjuntos; uso usual, confirmar com fabricante","","","","","[1]","","","","","","modular; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Clear Cut Trays","","não publicado","Bandeja/conjunto de copos de corte","","","","","","","600 unidades","Organização de copos e pigmentos; uso usual, confirmar com fabricante","","","","","[1]","","","","","","bandeja transparente; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar Plastic Ink Cups Muse","","não publicado","Batoque plástico; linha Unistar/Muse","","","","","","","160 unidades","Dosagem de pigmento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","circular; 16 mm","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","RECTANGLE Silicone Ink Cups in a Jar","","não publicado","Batoque de silicone; formato especial","","","","","","","pote com 80 unidades","Organização e dosagem de pigmento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","retangular; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","TRIANGLE Silicone Ink Cups in a Jar","","não publicado","Batoque de silicone; formato especial","","","","","","","pote com 80 unidades","Organização e dosagem de pigmento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","triangular; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar Silicone cups on a stand","","não publicado","Batoque de silicone com base; Unistar","","","","","","","100 unidades","Uso em bancada com suporte integrado; uso usual, confirmar com fabricante","","","","","[1]","","","","","","circular; 13 mm","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar Silicone cups on a stand","","não publicado","Batoque de silicone com base; Unistar","","","","","","","100 unidades","Uso em bancada com suporte integrado; uso usual, confirmar com fabricante","","","","","[1]","","","","","","circular; 8 mm","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar silicone cups Combat Magnum","","não publicado","Batoque de silicone; formato para Magnum","","","","","","","20 unidades","Acomodar maior volume de pigmento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","formato “Combat Magnum”; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar ECO Paper Ink Cups","","não publicado","Copo/batoque de papel; linha ecológica","","","","","","","200 unidades","Dosagem de pigmento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","formato e diâmetro não publicados","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","WORKING Tray Disposable stands","","não publicado","Suporte/bandeja descartável","","","","","","","caixa com 50 unidades","Apoio e organização de copos na estação de trabalho; uso usual, confirmar com fabricante","","","","","[1]","","","","","","bandeja/suporte; medidas não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Box for Inkcups","","não publicado","Organizador/caixa para batoques","","","","","","","1 unidade","Armazenamento e organização de copos; uso usual, confirmar com fabricante","","","","","[1]","","","","","","caixa; dimensões não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Carton box for inkcups","","não publicado","Caixa de papelão para batoques","","","","","","","1 unidade","Organização/armazenamento; uso usual, confirmar com fabricante","","","","","[1]","","","","","","caixa; dimensões não publicadas","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Plastic jar for cups","","não publicado","Pote para armazenamento de copos","","","","","","","1 unidade","Armazenar copos/batoques; uso usual, confirmar com fabricante","","","","","[1]","","","","","","pote plástico; capacidade de 1.000 ml","não aplicável","","","","","","",""
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar Disposable Cartridge Cup Holder","","não publicado","Suporte descartável para copos/cartuchos","","","","","","","24 unidades","Manter copos/cartuchos organizados; uso usual, confirmar com fabricante","","","","","[1]","","","","","","suporte com encaixes; número de encaixes e dimensões não publicados","não aplicável","","","","","","",""
